,Store,score,comment,address,phone_num,keyword_food,keyword_loc
0,강남곱창이야기 서울본점,2.8,11,서울 강남구 봉은사로1길 35,02-516-5173,육회,서울 강남
1,김천재의육회반한연어 신논현본점,3.5,32,서울 강남구 강남대로118길 47 2층,02-516-1123,육회,서울 강남
2,강남곱창이야기 신림점,4.1,25,서울 관악구 신림동길 21,02-877-5822,육회,서울 강남
3,창고43 강남점,3.3,63,서울 강남구 강남대로 362 대륭강남타워 지하1층,02-508-0043,육회,서울 강남
4,노랑저고리 강남점,3.0,26,서울 서초구 서초대로73길 9 타임빌딩 5층,02-534-5300,육회,서울 강남
5,서동한우 강남점,3.6,14,서울 서초구 서초대로74길 29 서초파라곤오피스텔 2층,02-3474-9297,육회,서울 강남
6,노란상소갈비 강남구청점,4.2,53,서울 강남구 선릉로131길 22 1층,02-543-9290,육회,서울 강남
7,고봉삼계탕 명동본점,3.2,18,"서울 중구 명동7길 21 1, 2층",02-756-2300,삼계탕,서울 명동
8,명동닭한마리 본점,4.0,53,서울 종로구 종로40가길 14,02-2266-8249,삼계탕,서울 명동
9,백제삼계탕,3.8,16,서울 중구 명동8길 8-10,02-776-3267,삼계탕,서울 명동
10,명동닭한마리 시조점,4.4,57,서울 종로구 종로40가길 10 1층,02-2275-3125,삼계탕,서울 명동
11,대우부대찌개,3.8,124,서울 강남구 테헤란로25길 34 1층,02-552-1663,부대찌개,서울 강남
12,이태리부대찌개 선릉직영점,4.1,26,서울 강남구 선릉로 424 2층,02-565-0310,부대찌개,서울 강남
13,이태리부대찌개 삼성점,4.3,23,서울 강남구 삼성로104길 16 은지빌딩 2층,02-555-5652,부대찌개,서울 강남
14,이태리부대찌개 학동점,3.9,18,서울 강남구 학동로33길 15 1층,02-545-0310,부대찌개,서울 강남
15,이태리부대찌개 역삼GS점,3.8,12,서울 강남구 논현로94길 22 2층,02-554-5597,부대찌개,서울 강남
16,금성스테이크부대찌개,3.1,21,서울 강남구 언주로174길 26 남강빌딩 1층 2호,,부대찌개,서울 강남
17,송탄부대찌개 본점,2.3,11,서울 강남구 도산대로 166 1층,02-541-2446,부대찌개,서울 강남
18,이태리부대찌개 신사점,3.9,15,서울 강남구 논현로149길 73 1층,02-518-7783,부대찌개,서울 강남
19,모박사부대찌개 코엑스점,1.8,33,서울 강남구 영동대로 513 지하1층 M101호,02-551-2288,부대찌개,서울 강남
20,이태리부대찌개 강남역점,3.6,24,서울 강남구 테헤란로4길 40 신소애빌딩 2층,02-569-0417,부대찌개,서울 강남
21,놀부부대찌개 강남고속버스터미널점,2.0,16,서울 서초구 신반포로 194 서울고속본관 지하大2-1,02-3478-8456,부대찌개,서울 강남
22,봉시김치찌개,4.2,13,서울 강남구 논현로28길 45 1층,02-572-0709,부대찌개,서울 강남
23,스튜부대,4.1,13,서울 강남구 선릉로155길 16 1층,02-512-4381,부대찌개,서울 강남
24,대독장 강남점,3.4,15,서울 강남구 논현로85길 59 남곡빌딩 2층,02-552-7745,부대찌개,서울 강남
25,꾼노리 강남역점,1.1,11,"서울 서초구 서초대로77길 29 수호빌딩 3, 4층",,부대찌개,서울 강남
26,강남면옥 대치점,2.5,24,서울 강남구 도곡로 428,02-539-6393,갈비찜,서울 강남
27,강남면옥 신천점,2.2,24,"서울 송파구 올림픽로8길 21 성지빌딩 1,2층",02-424-8889,갈비찜,서울 강남
28,강남면옥 송파점,3.4,15,서울 송파구 법원로 128 문정SK V1 GL메트로시티 A동 1층 103~106호,02-400-6599,갈비찜,서울 강남
